id,museum,title,era,material,size,description,detail_url,image,download_link
39,Staatliche Museen zu Berlin,Qilin,"Qing (Mandschu) –Dynastie (Ende), vor 1888",Seide,"Höhe x Breite: 31,5 x 32 cm (lt. Karteikarte)",,https://id.smb.museum/object/146836/qilin,https://recherche.smb.museum/images/4475917_300x300.jpg,https://recherche.smb.museum/images/4475917_300x300.jpg
40,Staatliche Museen zu Berlin,Militärbeamter: 8. Klasse,Qing (Mandschu) –Dynastie (Ende),Papier; Seide,,,https://id.smb.museum/object/139210/militarbeamter-8--klasse,https://recherche.smb.museum/images/496702_300x300.jpg,https://recherche.smb.museum/images/496702_300x300.jpg
41,Staatliche Museen zu Berlin,Militärbeamter: 7. Klasse.,,Papier; Seide,,,https://id.smb.museum/object/139209/militarbeamter-7--klasse,https://recherche.smb.museum/images/496699_300x300.jpg,https://recherche.smb.museum/images/496699_300x300.jpg
42,Staatliche Museen zu Berlin,Militärbeamter: 6. Klasse.,,Papier; Seide,,,https://id.smb.museum/object/139208/militarbeamter-6--klasse,https://recherche.smb.museum/images/496696_300x300.jpg,https://recherche.smb.museum/images/496696_300x300.jpg
43,Staatliche Museen zu Berlin,Militärbeamter 5. Grades,,Papier; Seide,,,https://id.smb.museum/object/139207/militarbeamter-5--grades,https://recherche.smb.museum/images/496693_300x300.jpg,https://recherche.smb.museum/images/496693_300x300.jpg
44,Staatliche Museen zu Berlin,Militärbeamter: 4. Klasse.,,Papier; Seide,,,https://id.smb.museum/object/139206/militarbeamter-4--klasse,https://recherche.smb.museum/images/496690_300x300.jpg,https://recherche.smb.museum/images/496690_300x300.jpg
45,Staatliche Museen zu Berlin,Militärbeamter  3. Klasse.,"Qing (Mandschu) –Dynastie (Ende), um 1890",Papier; Seide,,,https://id.smb.museum/object/139205/militarbeamter--3--klasse,https://recherche.smb.museum/images/496687_300x300.jpg,https://recherche.smb.museum/images/496687_300x300.jpg
46,Staatliche Museen zu Berlin,Militärbeamter: 1. Klasse.,"Qing (Mandschu) –Dynastie (Ende), um 1890",Papier; Seide,"Bildmaß: 22,5 x 13 cm",,https://id.smb.museum/object/139204/militarbeamter-1--klasse,https://recherche.smb.museum/images/496681_300x300.jpg,https://recherche.smb.museum/images/496681_300x300.jpg
47,Staatliche Museen zu Berlin,Zivilbeamter: 9. Klasse.,,Papier; Seide,"Bildmaß: 22,5 x 13,7 cm",,https://id.smb.museum/object/139203/zivilbeamter-9--klasse,https://recherche.smb.museum/images/496678_300x300.jpg,https://recherche.smb.museum/images/496678_300x300.jpg
48,Staatliche Museen zu Berlin,Zivilbeamter: 8. Klasse.,,Papier; Seide,"Bildmaß: 22,5 x 13,7 cm",,https://id.smb.museum/object/139202/zivilbeamter-8--klasse,https://recherche.smb.museum/images/496675_300x300.jpg,https://recherche.smb.museum/images/496675_300x300.jpg
49,Staatliche Museen zu Berlin,Zivilbeamter: 7. Klasse.,,Papier; Seide,"Bildmaß: 22,5 x 13,7 cm",,https://id.smb.museum/object/139201/zivilbeamter-7--klasse,https://recherche.smb.museum/images/496672_300x300.jpg,https://recherche.smb.museum/images/496672_300x300.jpg
50,Staatliche Museen zu Berlin,Zivilbeamter: 6. Klasse.,,Papier; Seide,"Bildmaß: 22,5 x 13,7 cm",,https://id.smb.museum/object/139200/zivilbeamter-6--klasse,https://recherche.smb.museum/images/496669_300x300.jpg,https://recherche.smb.museum/images/496669_300x300.jpg
51,Staatliche Museen zu Berlin,Zivilbeamter 5. Grades,,Papier; Seide,"Bildmaß: 22,5 x 13,7 cm",,https://id.smb.museum/object/139199/zivilbeamter-5--grades,https://recherche.smb.museum/images/496666_300x300.jpg,https://recherche.smb.museum/images/496666_300x300.jpg
52,Staatliche Museen zu Berlin,Zivilbeamter: 4. Klasse.,,Papier; Seide,"Bildmaß: 22,5 x 13,7 cm",,https://id.smb.museum/object/139198/zivilbeamter-4--klasse,https://recherche.smb.museum/images/496663_300x300.jpg,https://recherche.smb.museum/images/496663_300x300.jpg
53,Staatliche Museen zu Berlin,Zivilbeamter 3. Grades,"Qing (Mandschu) -Dynastie, um 1890",Papier; Farbe,"Bildmaß: 22,5 x 13,7 cm",,https://id.smb.museum/object/139197/zivilbeamter-3--grades,https://recherche.smb.museum/images/496660_300x300.jpg,https://recherche.smb.museum/images/496660_300x300.jpg
54,Staatliche Museen zu Berlin,Zivilbeamter: 2. Klasse,Qing (Mandschu) –Dynastie (Ende),Papier; Farbe,"Bildmaß: 22,5 x 13,7 cm",,https://id.smb.museum/object/139196/zivilbeamter-2--klasse,https://recherche.smb.museum/images/496657_300x300.jpg,https://recherche.smb.museum/images/496657_300x300.jpg
55,Staatliche Museen zu Berlin,,19. Jahrhundert,"Stickerei; Seide, Gold- und Silberfäden","Höhe x Breite: 31,3 x 30,5 cm",,https://id.smb.museum/object/134065/rangabzeichen,https://recherche.smb.museum/images/4485038_300x300.jpg,https://recherche.smb.museum/images/4485038_300x300.jpg
56,Staatliche Museen zu Berlin,Militärbeamter II. Klasse,Qing (Mandschu) –Dynastie (Ende),Papier; Farbe,"Bildmaß: 21,5 x 13 cm",,https://id.smb.museum/object/146809/militarbeamter-ii--klasse,https://recherche.smb.museum/images/496684_300x300.jpg,https://recherche.smb.museum/images/496684_300x300.jpg
57,Staatliche Museen zu Berlin,Haarnadel mit Zier in Form eines Bootes,"2. Hälfte 19. Jh., Quing-Dynastie","Silber, teilweise vergoldet, grüne und blaue Eisvogelfedern, farbige Perlen, Glasflüsse und Bemalung",,"Ein Boot, auf welchem sich eine Frau, ein Mann, sowie eine Blumenvase befinden. Davon herabhängend sieben Perlquasten mit Glasflussperlen am Ende. Oben eine gekrümmte Haarnadel. Das Boot ist mit höchster Delikatesse gearbeitet. Feinste, dicht verlegte Eisvogelfedern bilden das strahlende Blau des Bootes und seiner Überdachung. Alle Teile sind leicht und wippend angefügt. Die gesamte Nadel schwingt bei jeder Bewegung der Trägerin mit.",https://id.smb.museum/object/894374/haarnadel-mit-zier-in-form-eines-bootes,https://recherche.smb.museum/images/5678624_300x300.jpg,https://recherche.smb.museum/images/5678624_300x300.jpg
58,Staatliche Museen zu Berlin,Siegel mit Knauf in Form eines Drachens zwischen Wolken,Qing (Mandschu) –Dynastie-18./19. Jh.,Weißer Jade mit braunen Flecken an der Außenseite,"Höhe x Breite x Tiefe: 3,8 x 2,9 x 2,9 cm",[SM8HF],https://id.smb.museum/object/2391042/siegel-mit-knauf-in-form-eines-drachens-zwischen-wolken,https://recherche.smb.museum/images/5686865_300x300.jpg,https://recherche.smb.museum/images/5686865_300x300.jpg
59,Staatliche Museen zu Berlin,Tuschereibstein in Form eines kauernden Fabelwesens,Qing (Mandschu) –Dynastie-1778,Künstlich patiniertes Steinzeug (Yixing-Ware),"Objektmaß: 4,8 x 9,1 x 14,3 cm",,https://id.smb.museum/object/1920576/tuschereibstein-in-form-eines-kauernden-fabelwesens,https://recherche.smb.museum/images/4773950_300x300.jpg,https://recherche.smb.museum/images/4773950_300x300.jpg
60,Staatliche Museen zu Berlin,Siegel mit Knauf in Form eines Löwen,Qing (Mandschu) –Dynastie-18./19. Jh.,Shoushan-Stein,"Objektmaß: 5,9 x 2,5 x 2,5 cm",[SM8HF],https://id.smb.museum/object/1920571/siegel-mit-knauf-in-form-eines-lowen,https://recherche.smb.museum/images/5686866_300x300.jpg,https://recherche.smb.museum/images/5686866_300x300.jpg
61,Staatliche Museen zu Berlin,Siegel mit Knauf in Form eines Drachens,Qing (Mandschu) –Dynastie-18./19. Jh.,Weißlicher Jade,"Höhe x Breite x Tiefe: 3,4 x 3,2 x 3,2 cm",[SM8HF],https://id.smb.museum/object/1920568/siegel-mit-knauf-in-form-eines-drachens,https://recherche.smb.museum/images/5686851_300x300.jpg,https://recherche.smb.museum/images/5686851_300x300.jpg
62,Staatliche Museen zu Berlin,,19. Jahrhundert,"Kupfer, vergoldet",Objektmaß: H: 35 cm,"Ein Stupa ist ein Kultbau/Erinnerungsort in Form eines monumentalen Grabhügels. Er bildet symbolisch den buddhistischen Weltaufbau ab. Der abgestufte Unterbau repräsentiert die Erde, der kuppelförmige Teil das Himmelsgewölbe mit den kosmischen Sphären. Ein solcher Votiv-Stupa kann Überreste eines buddhistischen Lehrmeisters enthalten, aber auch heilige Texte, Kultfiguren oder Heilkräuter. Er ist ein Objekt der Verehrung und soll Gläubigen Schutz und Segen spenden. Bei diesem Exemplar/Modell sind Schutzformeln eingraviert.",https://id.smb.museum/object/147962/chortenmodell,https://recherche.smb.museum/images/5944162_300x300.jpg,https://recherche.smb.museum/images/5944162_300x300.jpg
63,Staatliche Museen zu Berlin,,,Baumwolle,Länge x Breite: 100 x 23 cm (L: zusammengenäht),"Hosenbeine, 1 Paar zusammengenäht.",https://id.smb.museum/object/188195/hosenbeinteil,https://recherche.smb.museum/images/1535985_300x300.jpg,https://recherche.smb.museum/images/1535985_300x300.jpg
64,Staatliche Museen zu Berlin,LANDCARPET Europe,2007 (Entwurf),"neuseeländische Wolle, handgetuftet auf Gewebe",Länge x Breite x Höhe: 240 x 180 x 2 cm,"Das Design stellt einen Blick von oben auf Felder und Straßen dar und ist in Grün- und Brauntönen gehalten.
Dieser Teppich stammt aus der Serie Europa (Modell 1), 23. Auflage von 88. 
Es gibt außerdem Serien der Kontinente Nordamerika, Südamerika, Asien, Afrika und Australien.
Produziert von KINGTOP in Peking/China fuer Studio Florian Pucher, Wien/Österreich.
Siehe auch: http://www.florianpucher.com/award.html (letzter Zugriff: 10.3.2017)",https://id.smb.museum/object/2284806/landcarpet-europe,https://recherche.smb.museum/images/5268406_300x300.jpg,https://recherche.smb.museum/images/5268406_300x300.jpg
65,Staatliche Museen zu Berlin,,,Leinwand,"Höhe x Breite: 7,5 x 6,5 cm Einzelbild (max.)","30 kleine Malereien, sogenannte Tsaglis, auf denen jeweils verschiedene tibetische Götter abgebildet sind.",https://id.smb.museum/object/140739/bild,https://recherche.smb.museum/images/5462671_300x300.jpg,https://recherche.smb.museum/images/5462671_300x300.jpg
66,Staatliche Museen zu Berlin,,"Qing (Mandschu) –Dynastie (Ende), vor 1892","Silber, Papier, Pigmente, Glas","Höhe x Breite: 15 x 44,5 cm","Ritualkrone mit den fünf kosmischen Buddhas. Bei besonderen Ritualen tragen Lamas eine spezielle Ritualkrone mit fünf lotosförmigen Blättern, auf denen die fünf kosmischen Buddhas (jinas) dargestellt sind. Die Ritualkrone kennzeichnet ihren Träger als Eingeweihten. Die jinas, auch Tathagatas (“Vollendete”) erscheinen alle in einer anderen Farbe und sind jeweils einer der fünf Himmelsrichtungen zugeordnet. SM8HF",https://id.smb.museum/object/136465/ritualkrone,https://recherche.smb.museum/images/4301613_300x300.jpg,https://recherche.smb.museum/images/4301613_300x300.jpg
67,Staatliche Museen zu Berlin,"""Marici"", chin.: molizhi tianhou 摩里支 (天后)",Ende 19. Jahrhundert,"Holz, bemalt, vergoldet","Objektmaß: 97 x 89 x 56,5 cm","Marici (Göttin des Großen Wagens), chinesisch auch 摩利支天菩萨, also als Bodhisattva bezeichnet.",https://id.smb.museum/object/146281/marici-chin--molizhi-tianhou-%E6%91%A9%E9%87%8C%E6%94%AF-%E5%A4%A9%E5%90%8E,https://recherche.smb.museum/images/1465834_300x300.jpg,https://recherche.smb.museum/images/1465834_300x300.jpg
68,Staatliche Museen zu Berlin,,"20. Jahrhundert, ca. Mitte","Holz (bemalt), Urushi (Lack)","Objektmaß: 68 x 192 x 7,5 cm",Schild einer Apotheke für traditionelle chinesische Heilkunde  mit der Bezeichnung  Huishun tang (Halle des ewigen Frühling).,https://id.smb.museum/object/2029299/apothekenwerbetafel-ladenschild,https://recherche.smb.museum/images/4991971_300x300.jpg,https://recherche.smb.museum/images/4991971_300x300.jpg
69,Staatliche Museen zu Berlin,Flying whirl,2006,"Metall, Kunststoff",Durchmesser: je 11 cm,"Die Nadeln mit verschiedenen Motiven und in unterschiedlichen Farben sind zum Transport und der Aufbewhrung in weiße Kunststoffringe gesteckt.
a) Blüten: je 5 Stück in den Farben rot, weiß, hellblau, mintgrün, gelb und rosa
b) Herzen: je 5 Stück in den Farben rot, rosa, weiß, hellblau, grün und gelb
c) Blätter: je 5 Stück in den Farben rot, pink, weiß, türkis, gelb und grün
Auf dem Kunststoffring der Blätter ist in der Mitte ein Etikett mit Logo, der Aufschrift ""Flying Whirl, Made in China"". Die Nadeln sind 5 cm lang.",https://id.smb.museum/object/1925568/flying-whirl,https://recherche.smb.museum/images/4637958_300x300.jpg,https://recherche.smb.museum/images/4637958_300x300.jpg
70,Staatliche Museen zu Berlin,,2013,Kuststoff,Höhe x Breite x Tiefe: ca. 5 x 15 x 6 cm,"Sonnenbrille aus Plastik mit Kunststoffgläsern der Firma Bijou Brigitte modische Accesosoires AG. 
Die Gläser sind mit Verlauf bräunlich getönt und von einem hellbraunem Rahmen eingefasst. Die Bügel haben ein gelblich-braunes Leopoardenmuster und sind durchsichtig. Auf der Innenseite des rechten Bügels steht ""Bijou Brigitte 101.808.680"". Auf der Innenseite des linken Bügels sind die Zeichen ""CE"" und ""Cat.3"" (steht für Categorie 3) vermerkt. 
Die Brille wurde in China hergestellt.",https://id.smb.museum/object/1879459/sonnenbrille,https://recherche.smb.museum/images/4381697_300x300.jpg,https://recherche.smb.museum/images/4381697_300x300.jpg
71,Staatliche Museen zu Berlin,,1995 - 2005,"Holz, Lackarbeit","Höhe x Breite x Tiefe: 5,5 x 11 x 7 cm","Kleines Kästchen mit abnehmbarem Deckel; Holz-Lackarbeit, Deckel zeigt Pfalnze: Bambus
außen ist das K. braun, innen rot lackiert.",https://id.smb.museum/object/1653604/kastchen,https://recherche.smb.museum/images/3565923_300x300.jpg,https://recherche.smb.museum/images/3565923_300x300.jpg
72,Staatliche Museen zu Berlin,,,"Metall, Kunststoff, geschraubt, geklebt","Höhe x Breite x Tiefe: 22,5 x 3 x 3 cm","Rot-weiß-silberfarbener Gasanzünder, schwarzer on/off Schalter, Gebrauchsspuren",https://id.smb.museum/object/1498112/gasanzunder,https://recherche.smb.museum/images/2949182_300x300.jpg,https://recherche.smb.museum/images/2949182_300x300.jpg
73,Staatliche Museen zu Berlin,,2009,"Metall, Kunststoff, geschraubt, geklebt","Höhe x Durchmesser: 12 x 11,5 cm","Silberfarbener Wecker mit zwei kleinen runden Füßen, weißes Ziffernblatt mit schwarzen Zeigern (Sekundenzeiger ist silberfarben), an der Rückseite schwarze Kunststoffklappe zum Einlegen der Batterie",https://id.smb.museum/object/1486284/wecker,https://recherche.smb.museum/images/2874791_300x300.jpg,https://recherche.smb.museum/images/2874791_300x300.jpg
74,Staatliche Museen zu Berlin,,um 2000,"Porzellan, bemalt","Höhe x Breite x Tiefe: 3 x 25,5 x 18,5 cm (ovaler Teller)","Ovaler Reisteller, weiß mit blauem Drachen-Dekor (wahrscheinlich gestempelt oder schabloniert). Am Tellerrand umlaufender Dekorfries und kleine Vertiefungen im Porzellan in Form von Reiskörnern",https://id.smb.museum/object/1478557/reisteller,https://recherche.smb.museum/images/2849153_300x300.jpg,https://recherche.smb.museum/images/2849153_300x300.jpg
75,Staatliche Museen zu Berlin,ISTAF 1937-2007,2007,"Polyester, bedruckt",Höhe x Breite: 48 x 49 cm,"Weiss-hellblaues Tuch aus Polyester; hergestellt: made in China; 
weißer Grund, hellblau bedruckt, Symbole und Schriftzug zum ISTAF (großes Leichtathletik-Ereignis in Berlin jährlich)
Druckaufschrift: 1937-2007 DKB-ISTAF Berlin",https://id.smb.museum/object/1454633/istaf-1937-2007,https://recherche.smb.museum/images/2849053_300x300.jpg,https://recherche.smb.museum/images/2849053_300x300.jpg
76,Staatliche Museen zu Berlin,Joker,1994,Kunststoff (weich und hart),Höhe x Breite x Tiefe: stehend 12 x 7 x 4 cm,"Spielfigur ""Joker"", Merchandising zum Film ""Batman"" (USA 1989)",https://id.smb.museum/object/1399734/joker,https://recherche.smb.museum/images/2591481_300x300.jpg,https://recherche.smb.museum/images/2591481_300x300.jpg
77,Staatliche Museen zu Berlin,Batcycle,1994,"Kunststoff, Gummi","Höhe x Breite x Tiefe: max. (wenn Figur aufgerichtet) 12 x 7,5 x 16 cm","Spielfigur ""Batman"" auf aufziehbarem ""Batcycle"" (Motorrad), Merchandising zum Film ""Batman"" (USA 1989)",https://id.smb.museum/object/1399718/batcycle,https://recherche.smb.museum/images/2591480_300x300.jpg,https://recherche.smb.museum/images/2591480_300x300.jpg
78,Staatliche Museen zu Berlin,Raphael,1994,Kunststoff,Höhe x Breite x Tiefe: Figur zusammengeklappt ca. 8 x 10 x 14 cm,"Die auf allen Vieren stehende, große und recht massive Figur ""Raphael"" verbirgt in ihrem Inneren eine Art Geheimzentrale oder Festung. Klappt man den Panzer nach oben kommt eine Innenwelt zum Vorschein, die wiederum weiter aufgeklappt werden kann und zwei Minifiguren enthält.
Merchandising zum Film ""Turtles"" (USA 1990)",https://id.smb.museum/object/1399653/raphael,https://recherche.smb.museum/images/2591477_300x300.jpg,https://recherche.smb.museum/images/2591477_300x300.jpg
79,Staatliche Museen zu Berlin,Mutatin' Leonardo,1992,"Kunststoff, Gummi",Höhe x Breite x Tiefe: Figur stehend 12 x 7 x 6 cm,"Spielfigur ""Mutatin' Leonardo"" kann von einer harmlos aussehenden Schildkröte durch Umbauen in eine kämpferisch aussehende Ninja-Riesen-Schildkröte umgewandelt werden. Dazu muss man den Panzer am Kopf nach oben ziehen. Unter dem Panzer verbirgt sich ein zweiter Kopf und andere Arme/Flossen. Merchandising zum Film ""Turtles"" (USA 1990)",https://id.smb.museum/object/1399646/mutatin-leonardo,https://recherche.smb.museum/images/2591475_300x300.jpg,https://recherche.smb.museum/images/2591475_300x300.jpg
80,Staatliche Museen zu Berlin,Next Quest,2006,Kunststoff,"Kistenmaß: 21,5 x 20 x 8,5 cm","Das Sammelfigurenspiel eröffnet laut Hersteller eine ""neue Dimension"" (Next Quest) des weltweit sehr erfolgreichen Game-Boy-Spiels ""Pokémon"".
Die Figuren:
a: Menschliche Figur ""Brix"": kämpferische Haltung, ausgestreckter Arm und Zeigefinger, auf schwarzem Untergrund stehend
b: Monster ""Pikachu"": gelbes Tierchen in dynamischer Bewegung auf grünem Untergrund
c: Monster ""Kramurx"": blauer Raubvogel mit Hut und roten Augen auf grünem Untergrund
d: Monster ""Impergator"": türkiser, schleimiger Drache in Drohgebärde auf blauem Untergrund",https://id.smb.museum/object/1399486/next-quest,https://recherche.smb.museum/images/2591472_300x300.jpg,https://recherche.smb.museum/images/2591472_300x300.jpg
